jp	ko
旧世紀の人達は、どうして私を	구세기 사람들은 어째서 나를
旧世紀の力で、無敵の軍隊を作りやがった	구세기 힘으로 무적 군대를 만들었어
旧世紀の力に人間がかなうわけないだろ！	구세기 힘을 인간이 당하겠나!
旧世紀の力の本質が、理解できないのさ	구세기 힘의 본질을 이해할 수 없어
旧世紀の力は、神の力だ	구세기의 힘은 신의 힘이다
旧世紀の力を相手に戦うなんて…	구세기의 힘을 상대로 싸우다니…
旧世紀の呪縛を解き、	구세기의 저주를 풀고,
旧世紀の子は、みんなああなのかい？	구세기 아이들은 다들 저런가?
旧世紀の意志は、滅びたわけではない	구세기의 의지는 사라진 게 아니다
旧世紀の技術には、すごい力があるんだぜ	구세기 기술에는 굉장한 힘이 있다고
旧世紀の技術の塊だよ	구세기 기술의 결정체야
旧世紀の技術を持たぬ辺境の民は、\n我が軍にとって斉威とはなり得ない。\n真の斉威は、我が軍と同じく旧世紀の\n力を有するもの、すなわち攻性生物で\nある。生物兵器として強大な戦闘力を\n与えられた彼らは、生身の人間では\n到底対抗し得ない外敵である。	구세기의 기술이 없는 변방\n백성은 우리 군에게 위협이 못\n된다.진정한 위협은 우리처럼\n구세기의 힘을 지닌 것,즉\n공성생물이다.생물병기로서 강대한\n전투력을 지닌 그들은 맨몸의\n인간으로는 못 당할 외적이다.
旧世紀の残した遣跡、	구세기가 남긴 유적,
旧世紀の沈没船か…	구세기의 침몰선인가…
旧世紀の発掘物で作られた大型銃\n弾は撃ちつくされている	구세기 발굴물로 만들어진\n대형총 탄은 다 써버렸다
旧世紀の研究を続けている	구세기 연구를 계속한다
旧世紀の研究を行っている	구세기 연구를 한다
旧世紀の硬貨と言われているもの\n店で売ればわずかだが金になる	구세기의 경화라는 것\n팔면 약간의 돈이 된다
旧世紀の空飛ぶ船を直してるって話だぜ	구세기 비행선을 고치고 있다던데
旧世紀の管理からの解放という我々の\n目的は、すべての塔の破壊もしくは\n無力化と言い換えてもよい。\n以下に記すのは、多くの「編み人」\nたちが積み重ねてきた、塔に関する\n研究をまとめたものである。	구세기의 관리로부터의\n해방이라는 우리의 목적은\n모든 탑의 파괴 혹은 무력화라\n바꿔 말해도 좋다.\n아래는 「엮는 자」들이\n쌓아온 연구다.
旧世紀の素材で作られた腕輪\n高値で売れる	구세기 소재로 만들어진\n팔찌 비싸게 팔린다
旧世紀の船に関する\n帝国軍の報告書	구세기의 배에 관\n한 제국군 보고서
旧世紀の記録に、そう記されている場所だ	구세기 기록에 그렇게 적힌 장소다
旧世紀の記録には、そう書いてある	구세기 기록에는 그렇게 쓰여 있다
旧世紀の記録によれば、ドラゴンと\n禁断兵器『塔』は、何らかの形で同調\nしているという。\nこの解釈として、アカデミーでは\n「ドラゴン=塔の守護者」説と\n「ドラゴン=塔の破壊者」説の2つが\nほぼ同等の支持を得ている。	구세기 기록에 따르면 드래곤과\n금단병기 『탑』은 어떤 형태로든\n동조 한다고 한다.이 해석으로\n아카데미에서는 「드래곤=탑의\n수호자」설과 「드래곤=탑의\n파괴자」설,두 가지가 거의\n대등한 지지를 얻고 있다.
旧世紀の記録機械に関する\nシーカーの研究書	구세기 기록기계에 관한\n시커의 연구서
旧世紀の記録機械の一種\n戦った相手の情報を分析・記録する	구세기 기록기계의 일종 싸운\n상대의 정보를 분석・기록한다
旧世紀の記録機械の一種\n音声情報が収められている	구세기 기록기계의 일종\n음성 정보가 담겨 있다
旧世紀の連中ってさ…	구세기 놈들이란 게 말이지…
旧世紀の遣物にふさがれてるな	구세기 유물에 가로막혀 있군
旧世紀の？	구세기의?
旧世紀を滅ぼした悪魔だとよ	구세기를 멸망시킨 악마라던데
旧世紀を滅ぼした遣跡だって	구세기를 멸망시킨 유적이라던데
旧世紀兵器の取り扱い	구세기 병기 취급법
旧世紀兵器の外装甲\n店で売れば金になる	구세기병기 외장갑\n팔면 돈이 된다
旧世紀兵器の残骸\n店で売れば金になる	구세기병기 잔해\n팔면 돈이 된다
旧世紀文明の力は、地上にはびこる\n攻性生物を駆逐し、再び人類を世界の\n主人とするために行使される。\n帝国の領土拡大は、より多くの遣跡や\nエンジンを確保するためであり、\nそれらは全て、攻性生物から人民を\n守るために有効利用されるのである。	구세기 문명의 힘은 지상에 창궐\n하는 공성생물을 몰아내고 인류를\n다시 세계의 주인으로 만들기\n위해 쓰인다.제국의 영토 확장은\n더 많은 유적과 엔진을 얻기 위\n함이며,모두 공성생물로부터 인\n민을 지키는 데 쓰인다.
早いとこ、薬が見つからないもんかねえ…	빨리 약을 찾을 수 없으려나…
早く、ドラゴンへ…	빨리,드래곤에게…
早くここから出るんだ	빨리 여기서 나가야 해
早く一人前になって、戦いに出たいなあ…	빨리 제 몫을 해서 싸우러 나가고파
早く上に戻らないと…隊長達が…	빨리 위로 돌아가야…대장들이…
早く修理をすませなくちゃ…	빨리 수리를 마쳐야 하는데…
早く叩き落とせ！	빨리 떨어뜨려!
早く発掘所に戻らないと…	빨리 발굴소로 돌아가야…
早く行け！	빨리 가라!
早く起きないかな…	빨리 일어나려나…
早めにここを離れた方がいいかもしれんぞ	빨리 여길 떠나는 게 좋을지도 몰라
明日、もう一度来いって	내일 또 오라던데
明朝、ここを出る	내일 아침 떠난다
昔は、クーリアもいっぱいいたんです	옛날엔 쿠리아도 많이 있었어요
昔？ どのくらい？	옛날?얼마나?
昨日、儀は帰る場所を失った。\n住んでいた家も、村のみんなも、\nあの光とともに消えてしまった。\n突然現れた、旧世紀の巨大な機械。\nその機械が放った一条の光は、儀の\n生まれた村を、黒焦げの廃虚に変えて\nしまった。	어제,나는 돌아갈 곳을 잃었다.\n살던 집도,마을 사람들도 그\n빛과 함께 사라져버렸다.갑자기\n나타난 구세기의 거대한 기계.\n그 기계가 쏜 한 줄기 빛은\n내가 태어난 마을을 새까맣게 탄\n폐허로 바꿔버렸다.
昼間から、なんか怪しいと思ってたんだ	낮부터 뭔가 수상하다고 생각했어
昼間は、たいていあそこにいるはずだよ	낮에는 대개 저기 있을 거야
時を同じくして、帝都東方97000\nリオンの地点にて、2頭のドラゴンが\n発見された。\n第9発掘所方面へ飛行中のドラゴンを\n捕獲するため、ただちに国境付近に\n捕獲部隊が展開された。	같은 시각,제도 동쪽 97000\n리온 지점에서 드래곤 두 마리가\n발견되었다.제9발굴소 방면으로\n비행 중인 드래곤을 포획하기\n위해 즉시 국경 부근에\n포획부대가 전개되었다.
時間だ	시간이다
普通に乗ってるだけさ	그냥 타고 있을 뿐이야
普通の人間じゃあるまい	보통 인간이 아닐 거야
普通の子供があれに乗ってたなんてなあ…	평범한 아이가 저걸 타고 있었다니…
最下層よ…	최하층이야…
最初は、攻性生物相手に戦ってたんだが…	처음엔 공성생물을 상대로 싸웠는데…
最初はそう思ってたけど…	처음엔 그렇게 생각했는데…
最大出力で加速！	최대 출력으로 가속
最大戦速、15分で到着すると伝えろ！	최대 전속,15분 후 도착이라 전해
最強の手投げ爆弾	최강의 수류탄
最短ルートのゲートはすでに開けてある	최단 루트 게이트는 이미 열려 있다
最近、やけに変種が生まれる…	요즘 이상하게 변종이 태어나…
最近、よそ者とやけに親しいようだな	요즘 이방인과 유난히 친한 듯하군
最近、ガラクタ集めの仕事がねえな	요즘 고물 모으는 일이 없네
最近、ドラゴンの噂をよく聞くな	요즘 드래곤 소문을 자주 듣는군
最近、帝国軍を全然見かけねえな…	요즘 제국군을 전혀 못 봤는데…
最近は、評議会の目が厳しくてな	요즘은 평의회의 눈이 엄해서 말이지
最近は、買い手が増えてますので…	요즘은 구매자가 늘고 있어서…
最近は仕事が少なくて困るぜ	요즘은 일이 적어서 곤란해
有事の際は、私の命令に従ってもらうぞ	유사시에는 내 명령에 따라야 한다
朝になるまで出てこねえよ、あいつは	아침이 될 때까지 안 나와,그놈은
期待している…	기대하고 있어…
未来の神聖区民に向かってよ	미래의 신성구민을 향해서 말이야
末端誘導段階	말단유도단계
本体RAMからロードします	본체 RAM에서 로드합니다
本体RAMにセーブします	본체 RAM에 저장합니다
本当にやばいと思ってたら	정말 위험하다고 생각했으면
本当に安全になるまではな	정말 안전해질 때까지는 말이지
本当に生き残りはいなかったのか？	정말 생존자는 없었던 건가?
本当のところはわからんよ	정말인지는 나도 몰라
本当のウルは、岩の壁で隠されているんだ	진짜 울은 바위벽 뒤에 숨겨졌어
本当は…	사실은…
本当は、それが普通なの	사실은 그게 평범한 거야
本当は、触れてはいけない物なんだ	사실은 건드려서는 안 되는 물건이다
本当は何も変わらないのに…	사실 아무것도 변하지 않았는데…
本来の目的は、徐々に忘れられていった	본래 목적은 서서히 잊혀갔다
本物の帝国軍が来る前に…	진짜 제국군이 오기 전에…
本隊からの情報通りだな…迎撃開始！	본대 정보 그대로군…요격 개시!
本隊へ、我が隊は全滅、敵は例のドラゴ…	본대,응답하라.아군 전멸,적은…
本隊より入電、	본대로부터 입전,
村にいた頃がなつかしいわ	마을에 있던 때가 그립네
村に着いた時には、焼け跡しかなかった	마을에 도착했을 땐 잿더미뿐이었다
村を帝国に売った、裏切り者だからな	마을을 제국에 팔아넘긴 배신자니까
来たか	왔나
来たか、やつを足止めする	왔나,그놈을 발 묶어두마
東の方って、なにがあるんだろう？	동쪽에는 뭐가 있을까?
栄華を誇った文明が滅んで数千年	번영하던 문명이 망한 지 수천년
森からは、作物がたくさんとれるんだ	숲에서는 작물이 많이 나
森から接近するしかないだろう	숲을 통해 접근할 수밖에 없겠지
森での中ボスの説明用	숲 중간보스 설명용
森の上で、また帝国軍と出くわす。\nその武器や規模より、彼らが人間で\nあるという事実の方が恐ろしかった。\n彼らと正面から戦っていたら、また\n無数の兵士の命を尋っていたはずだ。	숲 위에서 다시 제국군과\n마주쳤다.그들의 무기나\n규모보다 그들이 인간이라는\n사실이 더 두려웠다.그들과\n정면으로 싸웠다면 또다시 수많은\n병사의 목숨을 앗아갔을 것이다.
森の各所には、マサーンが根を張っている	숲 곳곳에 마산이 뿌리를 내린다
森の向こうにあるっていう遣跡よ	숲 너머에 있다는 유적이야
森の恵みは、我々に与えられたものだ	숲의 은혜는 우리에게 주어진 것이다
森の恵みは、我々神聖区民だけのものだ	숲의 은혜는 신성구민만의 것이다
森の恵みをやたらにつみ取れば	숲의 은혜를 마구잡이로 거두면
森の炎は、当分消えないだろう	숲의 불은 당분간 안 꺼진다
森は、月が変わるまで燃えてるだろうね	숲은 달이 바뀔 때까지 타고 있겠지
森を焼いたのは帝国だぜ	숲을 태운 건 제국이야
森を焼いたのは帝国らしいな	숲을 태운 건 제국인 듯하군
構わないけど…	상관없지만…
構造体の生命形態、判別不能…	구조체의 생명 형태,판별 불능
様々な用途で使用される油\n店で売れば金になる	여러 용도로 쓰는 기름\n팔면 돈이 된다
様子は？	상황은?
標準型で長く戦っていると\nレベルアップした時に\n各能力が平均的に上がる。\nまた、各クラスのバーサークを\n平均的に覚えていく。	표준형으로 오래 싸우고\n있으면 레벨업했을 때 각\n능력이 평균적으로 오른다.\n또한 각 클래스의 버서크를\n평균적으로 익혀간다.
標準型で長く戦っていると\n各能力が平均的に上がる。\nまた、各クラスのバーサークを\n平均的に覚えていく。	표준형으로 오래 싸우고\n있으면 각 능력이\n평균적으로 오른다.또한\n각 클래스의 버서크를\n평균적으로 익혀간다.
標準型：徐々にHP回復\n攻撃型：一定確率で反撃\n心技型：徐々にBP回復\n防御型：防御力2倍\n機動型：ステータス異常自動解除	표준형:서서히 HP회복\n공격형:일정확률 반격\n심기형:서서히 BP회복\n방어형:방어력 2배\n기동형:상태이상 해제
機動力	기동력
機動力を高めて戦っていると\n機動系統バーサークが\n早めに得られる。\n補助と物理属性のバーサーク。\nAGIRITY CLASS。	기동력을 높여 싸우면\n기동계 버서크를\n일찍 얻는다.\n보조·물리 속성 버서크.\nAGIRITY CLASS.
機動型	기동형
機動型で長く戦っていると\nレベルアップした時に\n銃の威力が上がりやすい。また、\nAGILITY CLASSの\nバーサークを覚えやすい。	기동형으로 오래 싸우고\n있으면 레벨업했을 때 총의\n위력이 오르기 쉽다.또한\nAGILITY CLASS의\n버서크를 익히기 쉽다.
機動型で長く戦っていると\n銃の威力が上がりやすい。\nまた、\nAGILITY CLASSの\nバーサークを覚えやすい。	기동형으로 오래 싸우고\n있으면 총의 위력이 오르기\n쉽다.또한 AGILITY\nCLASS의 버서크를 익히\n기 쉽다.
機動形態	기동형태
機能低下	기능저하
機能異常	기능이상
機銃掃射	기총 소사
機関部、第2エンジン接続完了	기관부,제2엔진 접속 완료
機関部損傷、これ以上もちません！	기관부 손상,더는 못 버팁니다!
機関部異常なし	기관부 이상 없음
機関部破損、被害甚大！	기관부 파손,피해 심대!
機関部破損、被害軽微！	기관부 파손,피해 경미!
機関部被弾、戦闘維続不能です！	기관부 피탄,전투 지속 불가합니다!
次々と襲ってくるわよ	계속 습격해 온다구
次の作戦に移るぞ	다음 작전으로 간다
次の司祭の話、聞いたか？	다음 사제 이야기 들었나?
次の部隊がそこに向かっているぞ…	다음 부대가 그쪽으로 향하고 있어…
次は、みんなと一緒に行けるかもね	다음엔 다 같이 갈 수 있을지
欲望は戦乱を生む	욕망이 부르는 전란
止められるようになったわ	멈출 수 있게 됐어
止めるスイッチがあるかもしれない	멈추는 스위치가 있을지도 몰라
正しいデータではありません	올바른 데이터가 아닙니다
正しく記録できません	제대로 기록할 수 없습니다
正直、わからなくなったんだ	솔직히 잘 모르게 됐어
正直言って、恐かったよ	솔직히 무서웠어
正直言って驚いたよ…	솔직히 놀랐어…
正確には人間ではないが…まあ、そうだ	정확히는 인간이 아니지만…뭐,그래
正義は俺達にないかもしれん	정의는 우리에게 없을지도 몰라
正面に壁が見えるはずです	정면에 벽이 보일 겁니다
武器なんかもあるから、見てってくれよ	무기 같은 것도 있으니 구경하고 가
武器もひととおり買ってあるんだ	무기도 한 벌 사뒀어
武器や薬がなけりゃ戦えない…	무기나 약이 없으면 못 싸워…
死にたくないならな	죽고 싶지 않다면 말이지
死ぬわけじゃないわ…	죽는 건 아니야…
死んだみんなにとっては、おんなじことさ	죽은 모두에게는 마찬가지 일이야
死んだよ	죽었어
死んだ子を天に帰す準備だよ	죽은 아이를 하늘로 보낼 준비야
死んだ遣跡の跡が、空洞になってるのさ	죽은 유적의 흔적이 공동이 된 거야
残った一方が、船を封印したそうだ	남은 한쪽이 배를 봉인했다더군
残った俺達を思ってのことだろうな…	남은 우리를 생각해서겠지…
残念だが、よそ者の居場所などないよ	안됐지만 이방인이 있을 곳은 없어
気づかなかったか？	눈치 못 챘나?
気の毒にな…その金、絶対返ってこねえよ	딱하게 됐군…그 돈은 못 돌려받아
気をつけな	조심해
気をつけろ！	조심해!
気を抜くと命を落とすぞ	방심하면 목숨을 잃어
気を抜くなよ、エッジ	방심하지 마,엣지
気楽でいいな、子供は	편해서 좋겠어,애들은
気楽でうらやましいね	편해서 부럽네
気楽に行こうぜ	편하게 가자고
気絶	기절
水や草や獣は、人からその姿を隠し、\n遣跡は、人に扉を閉ざし、\n攻性生物は、人を喰い続けた。\nかくして、\n神は、人の世とともになく、\n我らは、神の栄光からへだたり、\n万象は、我らに災いをなす。	물과 풀과 짐승은 사람에게서 그\n모습을 감추고 유적은 사람에게\n문을 닫고 공성생물은 사람을\n계속 잡아먹었다.그리하여 신은\n사람의 세상과 함께하지 않고\n우리는 신의 영광에서 멀어지고\n만상은 우리에게 재앙을 내린다.
水平尾翼投来	수평미익 투래
水源、森…それと遣跡の近くだな	수원,숲…그리고 유적 근처겠지
水？	물?
永かった…	오래 걸렸다
永遠にな	영원히
永遠の闇から呼び戻してくれた	영원한 어둠에서 불러내줬다
汚い仕事だけど、給金はよかったからな	더러운 일이지만 벌이는 좋았으니까
決まったわけじゃない	정해진 건 아니야
沈没船	침몰선
沈没船下の隠れ穴	침몰선 밑 굴
泣いてばかりじゃ、生きていけませんから	울고만 있어선 살아갈 수 없으니까요
注意しろ	주의해라
注意しろって…	주의하라니…
消費してしまう	소비해버린다
深刻化の一途をたどった	심각해지는 일로였다
深追いする必要はない	깊이 쫓을 필요 없다
渓谷で見つけたんだ	협곡에서 찾았어
渓谷で見つけたんだ…	협곡에서 찾았어…
渓谷に落ちてたんだ	협곡에 떨어져 있었어
渓谷地帯で戦った。\n2匹が一緒に行動している\nことが多い。\n後ろに回り込めば安全だが\n動きがすばやいのでかなり\n難しい。逆に回り込まれて\n大アゴに襲われないように\n気をつける必要がある。	계곡 지대에서 싸웠다.\n2마리가 함께\n행동할 때가 많다.\n뒤로 돌아들면\n안전하지만 움직임이\n빨라 꽤 어렵다.\n반대로 잡혀 큰턱에\n당하지 않게 주의.
渓谷地帯で戦った。\nこちらを追うようにして\n向きを変えてくるが、回り\n込んで危険方向をさければ\n無傷で倒せる相手だ。\nただし、複数いる場合は、\nそれぞれの向きに注意する\n必要がある。	계곡 지대에서 싸웠다.\n이쪽을 쫓듯이\n방향을 바꿔 오지만\n돌아들어 위험 방향을\n피하면 무상으로\n쓰러뜨릴 수 있다.\n다만 여럿일 때는\n각각의 방향에 주의.
渓谷地帯で戦った。\nメラコラとの違いは、頭の\n飾りと特殊攻撃だ。\nたくさんの針を集中して\n撃ってくるので危険だが、\n前に回り込んで、針を出す\n□を攻撃すれば、大きな\nダメージを与えることが\nできる。	계곡 지대에서 싸웠다.\n메라콜라와의 차이는\n머리 장식과 특수 공격\n많은 바늘을 집중해\n쏘므로 위험하지만\n앞으로 돌아들어\n바늘 내는 곳을 치면\n큰 피해를 줄 수 있다
渓谷地帯で戦った。\n体力を回復する力を持つ\n厄介な敵だ。\n仲間の体力も回復して\nしまうので、群れの中に\nこいつがいる時は、\n狙いをつけて先に倒した\n方がいい。	계곡 지대에서\n싸웠다.체력을\n회복하는 힘을 가진\n성가신 적이다.\n동료 체력도 회복\n시키므로 무리 속에\n이놈이 있으면\n먼저 잡는 게 좋다.
渓谷地帯で戦った。\n尻尾の先にある袋の力で\n空を飛んでいるらしい。\n頭部は、衝撃を吸収する\n皮膚でおおわれているので\n攻撃を受けつけない。\nだが、知能の方は、あまり\n高くはないようだ。	협곡지대에서 싸웠다.꼬\n리 끝에 있는 주머니의\n힘으로 하늘을 나는 듯\n하다.머리 부분은 충격\n을 흡수하는 피부로\n덮여 있어서 공격이\n통하 지 않는다.하지만\n지능 쪽은 그리 높지\n않은 듯하다.
渓谷地帯で戦った。\n発掘所のどこかにいると\n噂されていた奴だ。確実に\n弱点を狙っていかないと、\n長期戦になるだろう。\nシャプリの幼体が際限なく\n出てくるのも厄介だ。	계곡 지대에서 싸웠다.\n발굴소 어딘가 있다고\n소문나던 놈이다.\n확실히 약점을 노려야\n장기전을 피한다.\n샤프리 유체가 끝없이\n나오는 것도 성가시다.
渓谷地帯で戦った。\n背中を見せない限り襲って\nこないし、動きも遅い。\n油断さえしなければ確実に\n倒せる敵だ。	협곡지대에서\n싸웠다.등을 보이지\n않는 한 덤벼 오지\n않고 움직임도\n느리다.방심만 안\n하면 확실히 쓰러뜨릴\n수 있는 적이다
渓谷地帯にいない攻性生物は？	협곡지대에 없는 공성생물은?
渓谷地帯クリア	협곡지대 클리어
渓谷地帯ボス戦(ガケオコリ)	협곡지대 보스전(가케오코리)
渓谷地帯中ボス戦(ヘビムシの巣A)	협곡지대 중보스전(뱀벌레 둥지A)
渓谷地帯中ボス戦(ヘビムシの巣B)	협곡지대 중보스전(뱀벌레 둥지B)
渓谷地帯進入可	협곡지대 진입
渡ってたらって考えると、ぞっとするな…	건넜다면 어땠을까 생각하면 오싹해
準備を…始めてくれ	준비를…시작해줘
滅ぼそうと考えている男なのだ	멸망시키려고 생각하는 남자다
滑走用レール浮上、緊急発進準備完了	활주 레일 부상,긴급 발진 완료
滝に近い方が、監視台に通じてるのさ	폭포 쪽이 감시대로 이어져 있어
滝裏の洞穴	폭포뒤굴
火力を集中しろ！	화력을 집중해라!
炉心内温度上昇、冷却装置作動します	노심 온도 상승,냉각장치 작동합니다
点滅しはじめた…	점멸하기 시작했다…
無事だったのか	무사했던 건가
無数の光の矢を解き放つ <03><01>2ゲージ<03>	무수한 빛의 화살 <03><01>2게이지<03>
無数の風の刃      <03><01>2ゲージ<03>	무수한 바람의 칼날 <03><01>2게이지<03>
無理が効くのは、若いうちだけなんだから	무리가 통하는 건 젊을 때뿐이니까
無礼な□をきいて…	무례한 말을 하고…
無秩序なよそ者とは違うのだ	무질서한 이방인과는 다르다
焼いたと言われる『塔』…	불태웠다는 그 『탑』…
照明弾	조명탄
熱量過多	열량과다
熱隔離壁から異音発生、危険です！	열격리벽에서 이음 발생,위험합니다!
燃料気化榴弾	연료기화탄
燃料気化榴弾発射！	연료기화탄 발사!
爆雷にて撃墜を試みる	폭뢰로 격추를 시도한다
父が言ってました	아버지 말로는
父ちゃんがやっつけたんだぜ！	아빠가 해치웠다구!
父ちゃんたちがひろってきたんだ！	아빠들이 주워왔어!
父ちゃんに聞いても、教えてくれないんだ	아빠한테 물어봐도 안 가르쳐줘
父ちゃんの話、聞いてるんだからさ	아빠 얘기 듣고 있으니까 말이야
爺さんが死んだのは、俺の責任じゃないよ	할아버지 죽음은 내 책임이 아니야
物理攻撃構造体	물리공격 구조체
物理攻撃構造体1	물리공격 구조체1
物理攻撃構造体2	물리공격 구조체2
物理耐性の敵には効果が弱い。\n物理耐性の敵に銃を向けると\n<03>\nANTI SHOT\n(アンチ ショット)<03>	물리 내성 적엔 효과가\n약하다.물리 내성 적에\n총을 대면 <03> ANTI\nSHOT (안티 샷)<03>
物資が調達できないと困るだろ？	물자를 못 구하면 곤란하지?
特に、おまえのような物知らずはな	특히 너 같은 무지렁이는 말이지
特に、それが攻性生物ならばな	특히 그게 공성생물이라면 말이지
特に数が多い場所は…	특히 수가 많은 곳은…
特別な薬を飲ませないと助からないって…	특별한 약을 먹여야 산다고…
特務部隊の指揮官なんだ	특무부대의 지휘관이야
特定方向からの攻撃に対して\n回避や反撃を行う敵や\n特定方向からのみ狙える敵もいる。	특정 방향 공격에 회피나\n반격을 하는 적,특정 방향만\n노리는 적도 있다.
特殊攻撃	특수공격
狙い	조준
狩りに出るのって、命がけなんですね	사냥은 목숨 거는 일이군요
狩りの無事を祈るお守り\n攻性生物の外殻で作られている	사냥의 무사를 비는 부적\n공성생물 외각으로 제작
独力で空中船を組み上げたそうだな	혼자서 공중선을 조립했다더군
独自に旧世紀の研究も進めてるらしい	독자적으로 구세기 연구도 한다던데
珍しい種類の食用植物\n高値で売れる	희귀한 식용 식물\n비싸게 팔린다
珍しい銃だから、つい…	희귀한 총이라서,그만…
現れました！	나타났다!
現在のタイプでは使用できない	현재 타입으로는 쓸 수 없다
現在までに倒したクレイメン艦隊兵装	지금까지 쓰러뜨린 크레이멘 함대 병장
現在までに倒した帝国軍兵装	지금까지 쓰러뜨린 제국군 병장
現在までに倒した攻性生物(変異種)\n旧世紀の姿と性能を失い、野生化した種	쓰러뜨린 공성생물(변이종)\n구세기 모습과 성능을 잃은 종
現在までに倒した攻性生物(純血種)\n旧世紀の姿と性能を今も維持している種	쓰러뜨린 공성생물(순혈종)\n구세기 모습과 성능을 유지한 종
現在アクセス中の構造体に警告…	현재 접속 중인 구조체에 경고…
現在交戦中、援軍求む	교전 중,지원군 요청
現在装着中	현재장착중
現役のハンター様にゃ、わかんねえよな	현역 헌터님한테는 모를 얘기지
現状を報告しろ！	현황을 보고해라!
生かされてるだけだ	그저 살려지고 있을 뿐
生かされ続けるのは、もうごめんだ！	계속 살려지는 건 이제 지긋지긋해!
生きてたのか…よく無事で…	살아 있었나…무사해서 다행이군…
生きのびさえすれば、また戦える時が来る	살아남기만 하면 또 싸울 때가 온다
生きのびる方法？ どういう意味だ？	살아남는 방법?그게 무슨 뜻이지?
生きるためか…	살기 위해서인가…
生きるためにはな…	살기 위해서지…
生きるためにやってることなんだから	살기 위해 하는 일이니까
生き残りがいる事を知らせてどうする	생존자가 있다는 걸 알려서 어쩌려고
生き残りって人が、見つからなかったら？	생존자란 사람이 발견되지 않는다면?
生き残りなんだ…	생존자다…
生まれたんじゃない…	태어난 게 아니야…
生まれる場所間違ったかなあ、俺…	태어날 곳을 잘못 골랐나,나…
生体兵器実験棟	생체병기 실험동
生体兵器実験棟へのゲート	생체병기 실험동 게이트
生体兵装での侵入を禁止します…	생체병장으로의 침입을 금지합니다…
生物兵器に斉かされつつ	생물병기에 위협받으며
生産・稼動状況	생산·가동 현황
用がすんだら、早々に立ち去ることだ	볼일 끝났으면 빨리 떠나라
由縁があるんだろ？	인연이 있는 거지?
甲板に脱出するんだ	갑판으로 탈출해라
申しわけないが、席を外してもらえんかな	미안하지만 자리를 좀 비켜주겠나
申し遅れたが、ワシの名はアンユウだ	소개가 늦었는데,내 이름은 안유다
男どもは、さっさと発ちたがってるけど…	사내들은 얼른 떠나고 싶어 하지만…
画面には表示されないが\n敵もゲージを持っており\n一定間隔で行動する。\nゲージのたまる速さは\n敵によって異なる。	화면에 뜨지 않지만\n적도 게이지를 지녀\n일정 간격으로 행동한\n다.게이지 차는 속\n도는 적마다 다르다
留守の間に、出て行っちまったそうだ	비운 사이에 나가 버렸다더군
畜生、待…て…	빌어먹을,기다…려…
異端のドラゴン	이단의 드래곤
疲れるのを待つ	지치기를 기다린다
病気だったのがうそみたい…	아팠던 게 거짓말 같아…
発射弾数が上昇する	발사 탄수가 상승한다
発掘品なら、少しばかり取って来たぜ	발굴품이라면 조금 가져왔어
発掘品ひとつのために、街をつぶす…	발굴품 하나로 도시를 부순다니…
発掘品を毎日いじり回してる変人よ	발굴품을 매일 만지작거리는 괴짜야
発掘所<05>上空	발굴소<05>상공
発掘所で掘り出された石のクズ\n店で売ればわずかだが金になる	발굴장에서 캐낸 돌부스러기\n팔면 약간의 돈이 된다
発掘所の地下の遣跡で、\n初めて出会った時の姿。\nすべては、あの時から\n始まったんだ。	발굴소 지하 유적에서\n처음 만났을 때 모습\n모든 건 그때부터\n시작됐다.
発掘所を出る	발굴소 나간다
発掘所を破壊したドラゴンが、帝都\n防衛線に接近した時点で、軍司令部は\nドラゴンの捕獲を断念。\n残存部隊をもって迎撃にあたったが、\n撃滅は不可能であった。	발굴소를 파괴한 드래곤이 제도\n방위선에 접근한 시점에서\n군사령부는 드래곤 포획을 단념.\n잔존부대로 요격에 나섰으나\n격멸은 불가능했다.
発掘所上空クリア	발굴소 상공 클리어
発掘所上空進入可	발굴소 상공 진입
発掘所進入可	발굴소 진입
登るの、速いじゃないか	오르는 게 빠르네
白い船と黒い船が、撃ちあってたんだとよ	흰 배와 검은 배가 서로 쐈다던데
皇帝たる私に銃を向けるとは、クレイメン	황제인 내게 총을 겨누다니,크레이멘
皇帝はそれを知り、彼女を探した	황제는 그것을 알고 그녀를 찾았다
皇帝は死に、旗艦艦隊も全滅した	황제는 죽고 기함함대도 전멸했다
皇帝砲、次弾装填完了！	황제포,다음 탄 장전!
皇帝砲発射準備まだか！	황제포 발사 준비 아직인가
皇帝砲発射準備整いました	황제포 발사 준비 됐습니다
皇帝陛下、ご指示を	황제 폐하,지시를
皇帝陛下の動命により、当該飛行物体\n(現地語に基づき「シェルクーフ」と\n呼称)の追跡が開始されたが、探索\n部隊と合流する時点で、メッカニア\n連邦軍と衝突。全面戦争に発展する\n結果となった。	황제 폐하의 명에 따라 해당\n비행물체 (현지어에 따라\n「셰르쿠프」라 칭함)의 추적이\n개시되었으나 수색 부대와\n합류하는 시점에서 메카니아\n연방군과 충돌.전면전쟁으로\n번지는 결과가 되었다.
盗っ人呼ばわりしたけりゃ、かまわんぜ	도둑 취급하고 싶으면 마음대로 해
監視をつけとくべきだったよ	감시를 붙였어야 했어
監視台なんてめったに使わないんだけど…	감시대 같은 건 좀처럼 안 쓰는데…
目の前で食われていく、仲間の姿がよ！	눈앞에서 잡아먹히는 동료를 봤어!
目を覚まさないんです	눈을 뜨질 않아요
